등록번호,청구기호,소장/대여,제목,분야,유형,연도,판형,면수,부수,종이,인쇄 및 후가공,제본,ISBN/ISSN,저자/작가,기획자/편집자,사진가/일러스트레이터,디자이너,발행처,발행일,후원,원본경로
0365,,,모란,미술,도록,2025,297×210,48,500,스노우지,오프셋 인쇄; 표지에 라미네이팅,무선 제본; 날개,,김희자,,윤상우,김나리,영은미술관,2025.12.,문화체육관광부; 예술경영지원센터,00/2025년 12월작업진행/한빛Design-모란_김희자도록20251224/한빛Design-모란_김희자도록20260104
0366,00 A 183,O,"선 그리고 색, 박승순의 선율추상",미술,도록,2025,220×270,56,500,아르떼,오프셋 인쇄; 표지에 라미네이팅,무선 제본; 날개,,박승순,최정희; 김유나,박종호; 임장활,한빛디자인,영은미술관,2025.05.20.,,00/2025년 05월작업진행/한빛디자인-박승순_도록20250526
0367,,,스코프 앤 스케이프,미술,도록,2025,220×270,72,300,아르떼,오프셋 인쇄; 표지에 라미네이팅,무선 제본; 날개,,,미메시스 아트 뮤지엄,포아트,한빛디자인,영은미술관,2025.08.,,00/2025년 08월작업진행/한빛디자인-미메시스전_도록20250826
0368,00 A 184,유윤석,신물지,미술,도록,2019,215×275,128,500,올드밀; 인스퍼 러프; 아도니스 러프; 비비칼라,오프셋 인쇄; 표지에 박,PUR 제본; 날개; 삽지,979-11-964889-0-1,김범; 이슬기; 이유지아; 이이난; 이진경; 김영철; 이재선; 정용재,장윤주; 김제희; 장유진,홍철기,프랙티스,우란문화재단,2019.06.05.,,04프랙티스/신물지
0369,,,Books and Things: 물아일체,미술,도록,2022,300×300,160,450,미색 모조; 아트지; 마분지,오프셋 인쇄,노출 사철 제본,979-11-978550-0-9,그레이트마이너; 김덕용; 김동해; 이예승; 조성연; 채병록,정지영,글림워커픽쳐스(홍철기),페이퍼프레스,우란문화재단,2022.04.01.,,01거래처/페이퍼프레스(박신우)/박신우-우란도록(물아일체)20220427
0370,,,지속,미술,도록,2016,182×257,104,500,비세븐; 스노우지,오프셋 인쇄; 표지에 코팅; 표지에 형압,사철 제본,979-11-957912-1-7,,최태만; 조지현,박상용,워크룸,우민아트센터,2016.11.01.,우민재단,03워크룸2층/2016/01우민아트센터 La Duree 도록
0371,,,노상균: IN THE MIDST OF SHINY DUST,미술,도록,2017,257×250,96,500,인버코트; 비세븐,오프셋 인쇄; 별색 인쇄; 표지에 라미네이팅,무선 제본,979-11-957912-6-2,노상균,조지현,임장활,워크룸,우민아트센터,2017.09.14.,한국문화예술위원회; 우민재단,03워크룸2층/2017/01우민아트센터 도록 500부
0372,00 A 185,O,사적인 광장,미술,도록,2017,182×257,88,,,오프셋 인쇄; 표지에 박,,979-11-957912-3-1,고영택; 김기라; 김동령; 김영글; 박경근; 신정균; 유비호; 임흥순; 전소정,조지현,박상용,워크룸,우민아트센터,2017.02.04.,한국문화예술위원회,03워크룸2층/2017/04우민아트센터 사적인 광장 도록
0373,,,2018 국제기획: White Shadows,미술,도록,2018,220×270,84,1000,에코패키토; 랑데뷰,오프셋 인쇄; 별색 인쇄; 표지에 라미네이팅; 표지에 박,무선 제본,979-11-89646-00-4,,조지현,송현주,물질과 비물질,우민아트센터,2018.11.13.,우민재단; 한국문화예술위원회,01거래처/김종소리/김종소리-우민아트도록(white-shadows)20181112
0374,,,과정추적자,미술,도록,2019,180×250,136,500,아트지; 인스퍼 러프,오프셋 인쇄; 표지에 코팅,무선 제본,979-11-89646-01-1,,조지현,,물질과 비물질,우민아트센터,2019.05.27.,,01거래처/김종소리/김종소리-우민_과정추적자_도록20190705
0375,00 A 186,신신,마이너스 아워스,미술,도록,2019,170×242.5,136,500,아트지,오프셋 인쇄; 표지에 라미네이팅,노출 사철 제본,979-11-89646-03-5,로와정; 최병석; 권용주; 이의성; 박지혜,조지현; 김성우,백승현,신신,우민아트센터,2019.11.15.,우민재단; 청주시; 2019 청주공예비엔날레,신신/신신-우민아트센터 마이너스 아워스 도록20191111
0376,,,"소란한 여름, 햇살에 기대어 서서",미술,도록,2022,152×225,84,300,매직패브릭; 뉴플러스,오프셋 인쇄; 별색 인쇄; 표지에 코팅,노출 사철 제본; 날개,979-11-89646-13-4,엄유정; 유영진; 정혜정; 조은지,조현아,프리뷰,김정활,우민아트센터,2022.06.27.,우민재단,01거래처/HWAL works(김정활)/김정활-소란한 여름-도록20220621
0377,00 A 187,김종소리,F.O.R.D. 매일 고치고 수리하세요,미술,도록,2025,180×240,64,300,인스퍼 러프,오프셋 인쇄; 표지에 코팅,무선 제본; 날개,979-11-89646-23-3,장서영,이용미; 유정진; 최정현; 진민아; 우나르새,이민지,물질과 비물질,우민아트센터,2025.09.26.,우민재단; 충청북도; 청주시,00/2025년 10월작업진행/김종소리-장서영개인전도록도록20251001
0378,00 A 188,홍은주,뉴 스킨: 본뜨고 연결하기,미술,도록,2015,170×240,96,,,,,978-89-956028-9-8,강동주; 강정석; 김동희; 김영수; 김희천; 박민하,함영준,나씽스튜디오,홍은주 김형재,일민미술관,2015.08.01.,,홍은주/홍은주-뉴스킨도록20150818
0379,00 A 189,전소영,우주생활: NASA 기록 이미지들,미술,도록,2015,180×245,166,700,인버코트; 아트지; 모조지; 스노우지; 그린라이트; 바르니; 컬러페이퍼,오프셋 인쇄; 표지에 박; 표지에 코팅,스프링 제본,978-89-956028-8-1,김나영; 그레고리 마스; 김상길; 김지원; 김홍석; 박아람; 정재호; 조춘만,이영준,,홍은주 김형재; 유연주,일민미술관,2015.02.05.,,홍은주/홍은주-우주생활카달로그20150130
0380,00 A 190,O,I Like To Watch,미술,도록,2023,230×280,192,400,수플레; 랑데뷰,오프셋 인쇄; 표지에 UV 출력; 표지에 박,사철 제본,979-11-86905-26-5,이시 우드; 김태령; 윤율리; 김진주; 마가렛 크로스,윤율리; 최혜인; 백지수; 윤지현; 유현진,서울특별시; 서울특별시미술관협의회,페이퍼프레스,일민미술관,2023.10.20.,한국문화예술위원회; 현대성우홀딩스; 한강주조,01거래처/페이퍼프레스(박신우)/페이퍼프레스-일민미술관 도록20231101
0381,00 A 191,신건모,나를 닮은 사람,미술,도록,2023,145×240,144,200,화일지; 아트지,오프셋 인쇄; 표지에 UV 출력,PUR 제본,979-11-86905-24-1,권오상; 최하늘; 문혜진,윤지현,서울특별시미술관협의회; 권오상; 최하늘,포뮬러,일민미술관,2023.06.28.,현대성우홀딩스,포뮬러/포뮬러-나를닮은사람20230628
0382,00 A 192,장영웅,히스테리아: 동시대 리얼리즘 회화,미술,도록,2023,220×300,144,,우드스탁; 인스퍼,오프셋 인쇄,PUR 제본,979-11-86905-23-4,최진욱; 이수경; 정수진; 노충현; 노상호; 손현선; 이재석; 임노식; 정수정; 함성주; 김민희; 조효리; 김혜원; 김태령; 윤율리; 일민미술관 학예팀,김진주,고정균,김현진,일민미술관,2023.05.26.,한국문화예술위원회; 현대성우홀딩스,01거래처/팟(POT)-히스테리아 (일민)20230526
0383,00 A 193,장영웅,다시 그린 세계: 한국화의 단절과 연속,미술,도록,2024,220×300,224,400,에그쉘; 씨에라,오프셋 인쇄; 별색 인쇄,PUR 제본,979-11-86905-27-2,노한솔; 로랑 그라소; 문주혜; 박그림; 박소현; 박웅규; 박지은; 배재민; 손동현; 이은실; 정해나; 최해리; 황규민; 김태령; 윤율리,백지수,전상진,페이퍼프레스,일민미술관,2024.02.05.,한국문화예술위원회; 현대성우홀딩스; 환타; 한강주조,01거래처/페이퍼프레스(박신우)/페이퍼프레스-일민 도록20240205
0384,00 A 194,O,임민욱: 하이퍼 옐로우,미술,도록,2026,210×297,216,300,마테리카; 모조지; 골든캐스크슈퍼아트; 판타스,오프셋 인쇄; 자켓에 형압,PUR 제본; 자켓; 날개,979-11-86905-33-3,임민욱; 김태령; 백지수; 백지숙; 윤율리,백지수,스튜디오 오실로스코프,페이퍼프레스,일민미술관,2026.01.12.,한국문화예술위원회; 티나킴갤러리,00/2026년  01월작업진행/페이퍼프레스-일민 하이퍼옐로우도록20260114
0385,00 A 195,이경민,앵콜,미술,도록,2022,175×270,112,500,키칼라; 문켄 프린트 크림; 아트지,오프셋 인쇄; 표지에 박,사철 제본; 둥근양장,979-11-85518-42-8,전나환; 남웅; 이동윤; 김대현,김미래; 이지원,스튜디오 수직수평; 김대현,플락플락,토탈뮤지엄프레스,2022.04.10.,서울문화재단; 만리아트메이커스; 잭디,플락플락(이경민)/플락플락(이경민)-토탈미술관 앵콜 도록20220506
0386,,,장르 알레고리 — 조각적,미술,도록,2019,210×297,134,,,,,979-11-85518-32-9,구동희; 김대환; 노재운; 박현진; 장우주; 한상임; 사진아카이브연구소; 송주호; 신민; 윤지영; 이미래; 이수성; 정세영; 정소영; 정재철; 강재원; 권구은; 박종호; 이충현; 최하늘; 김장언; 안소연,김장언; 신진영,박수환,김은희,토탈미술관,2019.01.20.,한국문화예술위원회,김은희/김은희-조각적-도록20190117
0387,,,Vacationland,미술,도록,2018,148×210,68,1500,모조지,오프셋 인쇄,무선 제본,,이나예,이나예; 맹나현; 정명화,김진호,코우너스,플랫폼엘 컨템포러리 아트센터,2018.,루이까또즈,010개인작업자/코우너스/코우너스-플랫폼엘 베케이션 부클랫20180802
0388,,,직사각형 둘레에서 글쓰기 혹은 움직이기,미술,도록,2018,148×210,56,,,,,,정지돈; 조형준; 이한범; 안소현; 김선옥; 용선미,김선옥; 용선미,이의록,Studio KIO,플랫폼엘 컨템포러리 아트센터,2018.02.02.,서울문화재단,01거래처/STUDIO KIO/STUDIO KIO-직사각형도록20180125
0389,,,세계의 네 모서리,미술,도록,2013,190×257,88,500,그린라이트; 스노우지,오프셋 인쇄,무선 제본,978-89-964938-5-3,허빈 앤더슨; 프레데릭 브륄리 부아브레; 마르셀 드자마; 베르나르 프리즈; 팀 존슨; 아미캄 토렌; 장 엔리; 조나단 왓킨스,조나단 왓킨스; 사무소; 이성휘; 이지민,임장활; 박정훈,워크룸,하이트문화재단,2013.08.30.,하이트진로주식회사; 주한 영국 문화원; 프랑스 문화원,03워크룸2층/2013/세상의 네모서리
0390,,,미래가 끝났을 때,미술,도록,2014,182×260,136,,매직칼라; 아트지; 비비칼라,오프셋 인쇄,무선 제본; 날개,978-89-964938-6-0,강정석; 김다움; 김동규; 김실비; 로와정; 서보경; 이병수; 이양정아; 정승일; 최윤; 함정식,사무소; 워크룸,임장활,워크룸,하이트문화재단,2014.02.06.,하이트진로주식회사,03워크룸2층/2014/하이트갤러리-미래가 끝났을 때-도록
0391,,,박진아: 네온 그레이 터미널,미술,도록,2014,250×350,56,,CCP; 아트지,오프셋 인쇄,,978-89-964938-7-7,박진아,워크룸,김상태,워크룸,하이트문화재단,2014.05.29.,하이트진로주식회사,03워크룸2층/2014/박진아 전시
0392,00 A 196,O,두렵지만 황홀한,미술,도록,2015,182×260,212,,,,,978-89-964938-8-4,김민호; 박종호; 백경호; 왕선정; 유한숙; 장재민; 전현선; 정유선; 정은영; 조송; 최수연; 최정주; 허수영,이성휘,임장활,워크룸,하이트문화재단,2015.02.26.,하이트진로주식회사,03워크룸2층/2015/8.하이트-두렵지만 황홀한
0393,,,말 없는 미술,미술,도록,2016,297×420,47,,,오프셋 인쇄; 표지에 박,,979-11-87366-01-0,강홍구; 공성훈; 구정아; 김도균; 박선민; 연기백; 오치균; 이강원; 이수경; 채온; 최대진; 최병소; 최수인; 최의순; 한상혁; 홍범,워크룸,김도균; 전병철,워크룸,하이트문화재단,2016.07.11.,하이트진로주식회사,03워크룸2층/2016/하이트 - 말 없는 미술 도록
0394,,,언더 마이 스킨,미술,도록,2016,145×230,168,,,오프셋 인쇄,,979-11-87366-00-3,양희아; 염지혜; 윤형민; 이동근; 이솝; 이혜인; 전혜림; 함혜경,이성휘,김상태,워크룸,하이트문화재단,2016.05.16.,하이트진로주식회사,03워크룸2층/2016/03하이트 언더마이스킨 도록
0395,00 A 197,O,"사랑한다, 사랑하지 않는다",미술,도록,2017,127×182,276,500,브리에; 모조지; 매직칼라,오프셋 인쇄,무선 제본; 자켓,979-11-87366-03-4,강희정; 김세은; 노혜리; 박천욱; 서정빈; 이준용; 장종완; 전명은; 한우리; 황효덕,이성휘,김상태,워크룸,하이트문화재단,2017.05.15.,하이트진로주식회사,03워크룸2층/2017/01하이트갤러리 사랑한다 사랑하지않는다 도록
0396,00 A 198,O,언두 이펙트,미술,도록,2024,220×220,160,300,크리에이티브보드; 인스퍼 러프; 모조지,오프셋 인쇄; 표지에 박,노출 사철 제본,979-11-87366-14-0,이성휘; 김남시,이성휘; 조은채,전명은; 고정균; 안준호; 홍철기,프론트도어,하이트문화재단,2024.08.31.,,프론트도어/프론트도어-언두이펙트 도록20240920
0397,00 A 199,O,나는 너를 보고 있는 하늘의 눈이다,미술,도록,2025,182×257,176,300,문켄 폴라 러프,오프셋 인쇄; 표지에 박,사철 제본; 오타바인딩,979-11-87366-15-7,강민서; 김규리; 김동우; 배한솔; 송지유; 이성휘; 전지홍; 최희수; 홍수진,이성휘; 조은채,배한솔; 고정균,신신,하이트문화재단,2025.02.10.,,00/2025년 02월작업진행/신신-하이트컬렉션 도록20250210
0398,,,백기은: 이중유영_깊은 바다에서,미술,도록,2018,210×250,44,300,몽블랑,오프셋 인쇄; 표지에 라미네이팅,무선 제본,,백기은,양영은,임장활,강경탁; 장윤정,한국예탁결제원 KSD갤러리,,,05강경탁과 페도라/2018/KSD갤러리 - 백기은
0399,00 A 200,O,MOKA 아트북 — WINDOW 50 프로젝트,미술,도록,2021,210×150,122,500,메탈팩보드; 스노우지; 매직칼라; 모조지; 아트지 스티커; PET,오프셋 인쇄,스프링 제본,,현대백화점그룹 어린이 그림 그리기 대회 수상자 50명,현대어린이책미술관,,프래그,현대어린이책미술관,,환경부,01거래처/PRAG(프래그)/PRAG(프래그)-MOKA아트북20210902
0400,00 A 201,O,검은빛의 서사—검은색으로 펼쳐낸 무한과 생성의 풍경,미술,도록,2025,225×280,168,500,티엠보스; 비비칼라; 아르떼,오프셋 인쇄; 별색 인쇄,사철 제본,979-11-983116-4-1,문은배; 강여울,호림박물관 학예실,김광섭; 한정엽,워크룸,호림박물관,2025.09.23.,,워크룸1/워크룸-검은빛 도록20250909
0401,00 A 202,O,진흙에 물들지 않는 연꽃처럼,미술,도록,2024,225×280,392,3500,티엠보스; 매직칼라; 아르떼; 모조지,오프셋 인쇄; 별색 인쇄,사철 제본; 둥근양장; 헤드밴드; 가름끈; 오리꼬미,978-89-85468-81-7,,이승혜,김현수,워크룸,호암미술관,2024.03.27.,,워크룸1/워크룸_호암불교미술_도록_20240307
0402,00 A 203,이재환,If We Ever Meet Again,미술,도록,2020,205×260,80,300,티엠보스; 스노우지,오프셋 인쇄; 표지에 CR 코팅,중철 제본,,홍이지; 장혜정,,양이언,이재환,021 Gallery Cooperated with P21,2020.07.30.,,이재환/이재환-정희민도록20200730
0403,00 A 204,O,Kwang Young Chun: Aggregations,미술,도록,2018,245×310,52,500,심플렉스; 몽블랑; 비비칼라,오프셋 인쇄,사철 제본; 각양장,,전광영,,Tia Byington; jun Choi,한빛디자인,Art Mora,,,01거래처/한빛디자인/한빛디자인-전광영도록_양장20231106
0404,00 A 205,O,Nocturnal,미술,도록,2022,220×300,120,400,랑데뷰,오프셋 인쇄; 별색 인쇄; 표지에 실크스크린; 표지에 형압,사철 제본; 각양장; 헤드밴드; 스티커,979-11-974733-4-0,Yulia Iosilzon; 최희승; 플라비아 프리게리,최지예; 박세진,노경,페이퍼프레스,FOUNDRY SEOUL,2022.04.08.,,01거래처/페이퍼프레스(박신우)/박신우-파운드리도록20220322
0405,,,Just DO IT Yourself,미술,도록,2017,210×297,32,,,,,,최태훈; 김신영; 곽이브; 최형욱; 장서영,,,,Gallery175,2017.04.14.,,010개인작업자/Gallery175-곽이브도록20170504
0406,,,하태임,미술,도록,2020,220×280,64,500,,,,,Hyungjung Ahn; Jemin Kim,박정연; Danbee Ha,Chulhun Oh,Studio KIO,Gana Art Hannam,2020.,,01거래처/STUDIO KIO/STUDIO KIO-가나OK 하태임 도록20200603
0407,,,Salvo: In Viaggio,미술,도록,2025,225×285,80,200,랑데뷰; 매직칼라,오프셋 인쇄; 표지에 박; 표지에 라미네이팅,무선 제본; 날개,,Salvo,Cristina Tuarivoli; Norma Mangione; Clara Dagosta,Sebastiano Pellion di Persano; Cristina Leoncini; Ruggero Giuliani; Roberta Vagliani; Lucilla Dal Pozzo,프론트도어,Gladstone Seoul,2025.05.29.,,00/2025년 05월작업진행/프론트도어-살보 도록20250515
0408,,,Grenzgänge 2,미술,도록,2021,105×148,32,,,,,,Conny Maier; Marlene A. Schenk,,,,KÖNIG SEOUL,2021.07.01.,,01거래처/쾨닉서울(정휘영)-Conny-Maier20210726
0409,,,Superstar Jon Burgerman,미술,도록,2019,225×300,152,2000,아트지,오프셋 인쇄; 표지에 라미네이팅,무선 제본; 스티커,,,Jaho Song; Ji-eun Kang; Yeonwoo Seong; Kyunghun Yeo; Yeji Lim; Yeojin Kim,,DA.,M CONTEMPORARY; Museo&Public,2019.,,010개인작업자/아트1/아트1-FUN FACTORY 전시도록90531
0410,,,유승호: 머리부터 발끝까지,미술,도록,2017,210×297,48,1000,랑데뷰; CCP,오프셋 인쇄,PUR 제본,,유승호; 박순영,신건모,아트트레이스,신건모,P21,2017.10.26.,,포뮬러/낮인사-p21_유승호도록20171024
0411,00 A 206,O,"최정화 — 짓, 것",미술,도록,2018,170×240,584,1000,브리에; 아트지,오프셋 인쇄,사철 제본; 각양장,979-11-963920-0-0,최정화; 민병직; 호우 한루,최정화; 민병직; 신정훈; 장인기,,장인기; 신건모,P21,2018.09.04.,서울문화재단,포뮬러/낮인사-최정화_인쇄용20180828
0412,00 A 207,O,The Ship of Fools,미술,도록,2025,190×270,128,100,티엠보스; 랑데뷰; 모조지,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 삼중 싸바리,,서안나,강수지,안천호,강지인,P21,2025.11.,,00/2025년 11월작업진행/강지인-서안나작가20251117
0413,00 A 208,O,윤형근/파리/윤형근,미술,도록,2024,214×280,112,600,랑데뷰; 마로니에; 아레나,오프셋 인쇄; 표지에 라미네이팅; 표지에 형압,사철 무선 제본; 날개,979-11-976081-7-9,윤성열; 마라 호버만; 박명숙; 이계현,박경미; 장예란; 김유정; 김사라,전병철; 이봉규,프론트도어,PKM BOOKS,2024.05.02.,,프론트도어/프론트도어-윤형근 도록20240612
0414,00 A 209,이경수,Bird,미술,도록,2016,245×250,108,500,비세븐; 엔티랏샤,오프셋 인쇄; 자켓에 실크스크린,노출 사철 제본; 자켓,,배영환,,,워크룸,PKM 갤러리,,,02워크룸1층/2016/배영환영상집
0415,,,맨드라미,미술,도록,2016,200×270,52,500,몽블랑; 르느와르,오프셋 인쇄,,,김지원; 강수미,이지영,서종현,이윤재,PKM 갤러리,,,01거래처/PKM/PKM-5월 발주 - 김지원 도록20160503
0416,,,Kwang Young Chun: Works 1975–2018,미술,도록,2018,218×284,84,,,,,,전광영; 존 C. 웰치먼; 문소영; 아사드 라자,임미경; 허윤지,전광영 스튜디오,Studio KIO,PKM 갤러리,2018.04.06.,,01거래처/STUDIO KIO/STUDIO KIO-PKM 전광영 도록20180322
0417,,,추상 본능,미술,도록,2018,200×270,48,,,,,,신민주,임미경,이봉규,Studio KIO,PKM 갤러리,2018.,,01거래처/PKM/PKM-신민주작가 도록20180210
0418,00 A 210,O,YUN HYONG-KEUN 1989–1999,미술,도록,2020,180×254,80,200,랑데뷰,오프셋 인쇄,PUR 제본; 오리꼬미; 날개,,윤형근; 김인혜,장예란; 권영진,이봉규,Studio KIO,PKM 갤러리,2020.06.,,01거래처/STUDIO KIO/STUDIO KIO-PKM 갤러리 소책자(윤형근)20200620
0419,,,1999 CODY CHOI + NFT,미술,도록,2021,205×270,40,500,메리트,오프셋 인쇄,중철 제본,,코디 최; John C. Welchman,,,유수경,PKM 갤러리,,,01거래처/PKM/PKM-코디최영문책자20210728
0420,,,Time Lapse,미술,도록,2024,170×219,48,500,인스퍼 시그니처; 인스퍼 러프,오프셋 인쇄; 자켓에 형압; 자켓에 박,중철 제본; 자켓,,김정욱; 김진희; 류노아; 박광수; 서용선; 이우성; 이재헌; 정수정,맹지영; 김경미,,모조산업,Pace Gallery,2024.02.15.,,모조산업(도한결)/모조산업-PACE갤러리 타임랩스20240205
0421,,,WHITE SHADOWS,미술,도록,2019,150×200,40,500,마닐라지; 뉴플러스,오프셋 인쇄,중철 제본,,김수연; 전수연,SH ART PROJECT,ZEROSTUDIO,나영선,SH ART PROJECT,2019.03.14.,,01거래처/GALLERY2/GALLERY2-김수연_WHITE SHADOWS20190302
0422,,,Kim Kang Yong: Reality + Image,미술,도록,2016,228×270,62,,,,,,김강용,,Sang Kim,Switch communications,fnart,,,010개인작업자/FN아트/FN아트-김강용작가도록20160610
0423,,,박종혁: 흉 belles cicatrices,미술,도록,2017,182×257,40,,,,,,박종혁; 오세원,조영은,신오석,강경탁,gallery NO.2,,,05강경탁과 페도라/2017/박종혁 개인전 - 카탈로그20170724
0424,,,조민호: Narcissism / Categorizing,미술,도록,2020,180×230,32,200,인스퍼 러프,오프셋 인쇄,중철 제본,,조민호,,,강경탁,gallery NO.2,2020.11.05.,,05강경탁과 페도라/2020/AGK-조민호 도록20201021
0425,,,변화하는 색,미술,도록,2022,220×280,60,300,아스트로프리미엄; 뉴에이프릴브라이드,오프셋 인쇄,무선 제본; 날개,,이강욱; 정현,오상현; 이혜인; 박예은; 이재영,,강경탁,가나부산,,,이사님 데스크톱/강경탁:페도라/AGK/AGK-이강욱 도록20220310
0426,00 A 211,이경수,"코나투스—능동적 충동, 지속에 대한 지향",미술,도록,2022,225×280,80,500,아트지; 비비칼라; 비세븐,오프셋 인쇄; 표지에 코팅,사철 제본; 둥근양장; 헤드밴드,,박남희,오상현; 이보성,전의배; 이인미,워크룸,가나부산,2022.08.25.,,02워크룸1층/2022/워크룸-김지아나 도록20220822
0427,,,José Parlá: Entropies,미술,도록,2020,210×280,52,500,아르떼,오프셋 인쇄; 별색 인쇄; 표지에 박,PUR 제본; 날개,979-11-5591-052-8,호세 팔라,박정연; 송준규,Rey Parlá; Farzad Owrang; 진철규,IANN; 양민영,가나아트,2020.09.10.,,이안북스/이안-호세 팔라 도록 인쇄20200916
0428,,,José Parlá: Breathing,미술,도록,2023,244×293,128,1000,문켄 폴라; 그라시아,오프셋 인쇄; 별색 인쇄; 표지에 형압; 표지에 박; 내지에 바니시 코팅,사철 제본; 각양장; 헤드밴드; 접지; 띠지,979-11-5591-090-0,José Parlá; 박민혜; Seolhui Lee; Matt Black,김소연; Rey Parlá; 박민혜; Kay Kim,Rey Parlá; 황정욱; Pilmo Studio,Javas Lehn Studio,가나아트,2023.03.,,이안북스/이안북스-호세팔라20230607
0429,,,Shiota Chiharu: Between Us,미술,도록,2020,210×300,240,1500,마테리카; 큐리어스 매터; 아코프린트; 메리트,오프셋 인쇄; 별색 인쇄; 표지에 박,사철 제본; 둥근양장; 헤드밴드; 가름끈,979-11-5591-051-1,시오타 치하루,김선희; Park Jungyeon; 박신진; Jung Heehwa,이동엽,프론트도어,가나아트,2020.07.16.,,이안북스/이안-시오타 치하루 도록 인쇄20200914
0430,,,Shiota Chiharu: In Memory,미술,도록,2022,210×300,188,1500,유니트; 모조지,,무선 제본,979-11-5591-078-8,시오타 치하루,박신진; 김가영,황정욱,강경탁,가나아트,2022.09.19.,,01거래처/페이퍼프레스(박신우)/페도라프레스-가나 시오타치하루 도록(인디고)20221206
0431,,,Hiroshi Sugito: apples and triangles,미술,도록,2020,240×300,64,500,칼라플랜; 에어러스; 매그칼라,,무선 제본,979-11-5591-054-2,Hiroshi Sugito,박정연; 박신진,,IANN; 프론트도어,가나아트,2020.11.11.,,이안북스/이안-히로시스기토_도록20201203
0432,,,Today and Tomorrow,미술,도록,2021,230×300,152,500,매그; 큐리어스 매터; 울트라사틴,오프셋 인쇄; 별색 인쇄; 표지에 실크스크린; 내지에 UV 출력,사철 제본; 각양장; 헤드밴드,979-11-5591-062-7,Satch Hoyt; Rashaad Newsome; Hank Willis Thomas; Radcliffe Bailey; Paul Anthony Smith; Odili Donald Odita; 박민혜,박정연,황정욱,프론트도어,가나아트,2021.08.16.,,이안북스/이안-가나Today and Tomorrow인쇄20210802
0433,00 A 212,O,yoohee: Imperfection Equals…,미술,도록,2021,230×290,88,1000,아이리스; 뉴칼라; 에어러스; 모조지,오프셋 인쇄; 별색 인쇄; 표지에 라미네이팅; 자켓에 실크스크린,사철 무선 제본; 자켓,979-11-5591-058-0,유희; 케니 샤크터,박정연; 송준규,황정욱; BKW Studio,프론트도어,가나아트,2021.03.26.,,이안북스/이안북스-유희 도록20210330
0434,00 A 213,O,觀照: Contemplation,미술,도록,2021,220×300,94,1000,아이리스; 비비칼라; 밍크; 쉽스킨; 에어러스,오프셋 인쇄; 별색 인쇄; 표지에 실크스크린; 표지에 박,사철 제본; 각양장; 헤드밴드; 오리꼬미,979-11-5591-059-7,고영훈,박정연; 박민혜,Studio Photo Art; 황정욱,프론트도어,가나아트,2021.04.15.,,이안북스/이안-고영훈도록20210402
0435,,,불씨,미술,도록,2021,220×300,154,500,티엠보스; 뉴칼라; 쉽스킨; 에어러스,오프셋 인쇄; 별색 인쇄; 표지에 실크스크린; 표지에 박,사철 제본; 각양장; 헤드밴드; 삽지,979-11-5591-063-4,이수경,박정연; 박민혜; Lisa Shin,양이안,프론트도어,가나아트,2021.11.30.,,이안북스/이안북스-이수경_도록20211102
0436,,,이왈종: 그럴 수 있다 A Way of Life,미술,도록,2021,225×254,70,2000,티엠보스; 문켄 프린트; 에어러스; 디자이너스칼라,오프셋 인쇄; 별색 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-057-3,이왈종; 최광진,박정연; Heehwa Jung,황정욱,임유민,가나아트,2021.02.23.,,이안북스/이안북스-이왈종 인쇄20210223
0437,,,Bernard Piffaretti & Hosup Hwang: Résonner,미술,도록,2022,225×290,88,500,브릴리안타; 스펙트라; 에어러스,오프셋 인쇄; 별색 인쇄; 표지에 박; 표지에 실크스크린,사철 제본; 각양장; 헤드밴드,979-11-5591-085-6,Bernard Piffaretti; Hosup Hwang; 김영호,Sihyun Kim; 임유권,황정욱,인현진,가나아트,2022.,,이안북스/이안북스-피파레티 황호섭 도록20230217
0438,00 A 214,O,Eddie Kang: Then we will walk through the dark,미술,도록,2022,225×290,128,1000,듀오; 칼라플랜; 에어러스; 엔티랏샤,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 각양장; 헤드밴드,979-11-5591-073-3,에디강; 홍태림,김가영; Lisa Shin,황정욱,인현진,가나아트,2022.07.11.,,이안북스/이안북스-에디강 도록20220706
0439,00 A 215,O,Hiroyuki Hamada,미술,도록,2022,225×290,92,500,브릴리안타; 뉴칼라; 에어러스; 디자이너스칼라,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드; 오리꼬미,979-11-5591-082-5,Hiroyuki Hamada; 김성호,김가영; Lisa Shin,황정욱,에이오 그래픽스,가나아트,2022.12.26.,,이안북스/이안북스-하마다 히로유키 도록20221220
0440,,,MARS,미술,도록,2022,225×286,72,500,큐리어스 매터; 에어러스; 엔티랏샤,오프셋 인쇄; 별색 인쇄; 표지에 형압; 표지에 박; 책등에 세양사,사철 제본; 날개,979-11-5591-066-5,요리코 타카바타케; 미네무라 토시아키,박정연; 박신진; 김소연,무토 시게오,임유민,가나아트,2022.04.06.,,이안북스/이안북스-가나 요리코 타카바타케 도록20220407
